video_id,datetime,title
cC1LFC0KFSw,2022-03-27T16:42:48Z,Brett Johnson: US Most Wanted Cybercriminal | Lex Fridman Podcast #272
KW8Vjs84Fxg,2022-03-23T19:16:42Z,Ariel Ekblaw: Space Colonization and Self-Assembling Space Megastructures | Lex Fridman Podcast #271
urdNsyZBqhQ,2022-03-16T21:22:30Z,David Wolpe: Judaism | Lex Fridman Podcast #270
ZecQ64l-gKM,2022-03-11T18:37:15Z,"Lee Cronin: Origin of Life, Aliens, Complexity, and Consciousness | Lex Fridman Podcast #269"
Y3VBCWIDEzk,2022-03-05T16:12:16Z,Robert Proctor: Nazi Science and Ideology | Lex Fridman Podcast #268
5zOHSysMmH0,2022-02-26T17:30:31Z,"Mark Zuckerberg: Meta, Facebook, Instagram, and the Metaverse | Lex Fridman Podcast #267"
hy2G3PhGm-g,2022-02-20T22:33:12Z,Nicole Perlroth: Cybersecurity and the Weapons of Cyberwar | Lex Fridman Podcast #266
iLzO5x_1PNc,2022-02-18T18:42:21Z,Devon Larratt vs Lex Fridman: How to arm wrestle
nvBEXXnNaNQ,2022-02-16T21:50:35Z,Devon Larratt: Arm Wrestling | Lex Fridman Podcast #265
0Jd7fJgFkPU,2022-02-13T20:37:49Z,"Tim Urban: Elon Musk, Neuralink, AI, Aliens, and the Future of Humanity | Lex Fridman Podcast #264"
